Overriding config with config/exp1_depth.py:
# Experiment 1 - Depth sweep
# Vary: n_layer ∈ {2, 4, 8, 12}
# Fixed: n_head = 8, n_embd = 256, dropout = 0.0
# Usage: python train.py config/exp1_depth.py --n_layer=2

out_dir = 'out-exp1-depth'  # will be overridden by run script
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp1-depth'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6  # overridden via command line
n_head = 8
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp1-layer8
Overriding: n_layer = 8
Overriding: wandb_run_name = exp1-layer8
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 6.35M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 34, with 6,415,360 parameters
num non-decayed parameter tensors: 17, with 4,352 parameters
using fused AdamW: False
step 0: train loss 5.4750, val loss 5.4746
iter 0: loss 5.4707, time 49479.23ms, mfu -100.00%
iter 10: loss 4.0357, time 360.06ms, mfu 0.65%
iter 20: loss 3.4103, time 379.20ms, mfu 0.64%
iter 30: loss 2.8994, time 364.63ms, mfu 0.64%
iter 40: loss 2.6039, time 362.90ms, mfu 0.64%
iter 50: loss 2.4434, time 356.20ms, mfu 0.64%
iter 60: loss 2.3589, time 356.89ms, mfu 0.65%
iter 70: loss 2.3569, time 360.84ms, mfu 0.65%
iter 80: loss 2.3243, time 357.06ms, mfu 0.65%
iter 90: loss 2.3113, time 360.01ms, mfu 0.65%
iter 100: loss 2.2641, time 356.04ms, mfu 0.65%
iter 110: loss 2.2167, time 354.73ms, mfu 0.65%
iter 120: loss 2.2101, time 329.81ms, mfu 0.65%
iter 130: loss 2.1658, time 335.28ms, mfu 0.66%
iter 140: loss 2.1130, time 330.86ms, mfu 0.66%
iter 150: loss 2.1031, time 342.11ms, mfu 0.67%
iter 160: loss 2.1013, time 335.84ms, mfu 0.67%
iter 170: loss 2.0419, time 331.44ms, mfu 0.67%
iter 180: loss 1.9596, time 340.21ms, mfu 0.67%
iter 190: loss 1.9672, time 336.93ms, mfu 0.67%
iter 200: loss 1.8577, time 340.35ms, mfu 0.68%
iter 210: loss 1.8339, time 341.33ms, mfu 0.68%
iter 220: loss 1.8326, time 347.30ms, mfu 0.68%
iter 230: loss 1.7071, time 339.79ms, mfu 0.68%
iter 240: loss 1.6873, time 331.23ms, mfu 0.68%
step 250: train loss 1.6503, val loss 1.6527
saving checkpoint to out-exp1-layer8
iter 250: loss 1.6378, time 49742.77ms, mfu 0.61%
iter 260: loss 1.6050, time 369.73ms, mfu 0.61%
iter 270: loss 1.5709, time 361.01ms, mfu 0.62%
iter 280: loss 1.6009, time 379.70ms, mfu 0.62%
iter 290: loss 1.5199, time 362.01ms, mfu 0.62%
iter 300: loss 1.4196, time 365.40ms, mfu 0.62%
iter 310: loss 1.4662, time 368.67ms, mfu 0.62%
iter 320: loss 1.4271, time 374.20ms, mfu 0.62%
iter 330: loss 1.4166, time 337.76ms, mfu 0.63%
iter 340: loss 1.3492, time 337.88ms, mfu 0.64%
iter 350: loss 1.2850, time 353.09ms, mfu 0.64%
iter 360: loss 1.2651, time 338.87ms, mfu 0.64%
iter 370: loss 1.2428, time 342.08ms, mfu 0.65%
iter 380: loss 1.2375, time 340.23ms, mfu 0.65%
iter 390: loss 1.2334, time 343.02ms, mfu 0.65%
iter 400: loss 1.1852, time 341.65ms, mfu 0.66%
iter 410: loss 1.1839, time 348.05ms, mfu 0.66%
iter 420: loss 1.2586, time 342.12ms, mfu 0.66%
iter 430: loss 1.1785, time 350.99ms, mfu 0.66%
iter 440: loss 1.1695, time 345.11ms, mfu 0.66%
iter 450: loss 1.1642, time 341.08ms, mfu 0.66%
iter 460: loss 1.1522, time 345.11ms, mfu 0.67%
