Overriding config with config/exp2_width.py:
# Experiment 2 - Width sweep
# Vary: n_embd ∈ {128, 192, 256, 384}
# Fixed: n_layer = 6, n_head = 8, dropout = 0.0

out_dir = 'out-exp2-width'
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp2-width'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6
n_head = 8
n_embd = 256  # overridden via command line
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp2-embd192
Overriding: n_embd = 192
Overriding: wandb_run_name = exp2-embd192
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 2.70M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 26, with 2,747,136 parameters
num non-decayed parameter tensors: 13, with 2,496 parameters
using fused AdamW: False
step 0: train loss 5.4566, val loss 5.4568
iter 0: loss 5.4540, time 29577.25ms, mfu -100.00%
iter 10: loss 4.4082, time 204.88ms, mfu 0.51%
iter 20: loss 3.8763, time 207.51ms, mfu 0.51%
iter 30: loss 3.3484, time 202.99ms, mfu 0.51%
iter 40: loss 2.9101, time 205.98ms, mfu 0.51%
iter 50: loss 2.6077, time 209.60ms, mfu 0.50%
iter 60: loss 2.5200, time 204.15ms, mfu 0.50%
iter 70: loss 2.4022, time 207.22ms, mfu 0.50%
iter 80: loss 2.3713, time 210.88ms, mfu 0.50%
iter 90: loss 2.3224, time 208.24ms, mfu 0.50%
iter 100: loss 2.3089, time 209.17ms, mfu 0.50%
iter 110: loss 2.2953, time 205.66ms, mfu 0.50%
iter 120: loss 2.2504, time 204.10ms, mfu 0.50%
iter 130: loss 2.2219, time 204.04ms, mfu 0.50%
iter 140: loss 2.1823, time 204.39ms, mfu 0.50%
iter 150: loss 2.1913, time 205.81ms, mfu 0.50%
iter 160: loss 2.1461, time 206.32ms, mfu 0.50%
iter 170: loss 2.0813, time 197.54ms, mfu 0.51%
iter 180: loss 2.0808, time 196.21ms, mfu 0.51%
iter 190: loss 2.0525, time 195.43ms, mfu 0.51%
iter 200: loss 1.9868, time 197.09ms, mfu 0.51%
iter 210: loss 1.9858, time 195.10ms, mfu 0.51%
iter 220: loss 1.9586, time 197.17ms, mfu 0.51%
iter 230: loss 1.8974, time 194.26ms, mfu 0.52%
iter 240: loss 1.8563, time 193.93ms, mfu 0.52%
step 250: train loss 1.8484, val loss 1.8467
saving checkpoint to out-exp2-embd192
iter 250: loss 1.8714, time 28584.81ms, mfu 0.47%
iter 260: loss 1.8242, time 197.77ms, mfu 0.47%
iter 270: loss 1.7762, time 197.81ms, mfu 0.48%
iter 280: loss 1.7470, time 197.80ms, mfu 0.48%
iter 290: loss 1.6955, time 197.99ms, mfu 0.49%
iter 300: loss 1.6385, time 197.60ms, mfu 0.49%
iter 310: loss 1.6541, time 196.29ms, mfu 0.49%
iter 320: loss 1.6022, time 196.07ms, mfu 0.50%
iter 330: loss 1.5411, time 196.87ms, mfu 0.50%
iter 340: loss 1.5020, time 199.32ms, mfu 0.50%
iter 350: loss 1.5038, time 199.24ms, mfu 0.50%
iter 360: loss 1.4627, time 195.75ms, mfu 0.51%
iter 370: loss 1.4428, time 196.30ms, mfu 0.51%
iter 380: loss 1.4508, time 196.11ms, mfu 0.51%
iter 390: loss 1.3413, time 197.57ms, mfu 0.51%
iter 400: loss 1.3535, time 195.70ms, mfu 0.51%
iter 410: loss 1.2988, time 195.63ms, mfu 0.52%
iter 420: loss 1.3320, time 195.66ms, mfu 0.52%
iter 430: loss 1.3331, time 196.29ms, mfu 0.52%
iter 440: loss 1.3153, time 195.49ms, mfu 0.52%
iter 450: loss 1.2880, time 204.55ms, mfu 0.52%
iter 460: loss 1.2987, time 198.38ms, mfu 0.52%
iter 470: loss 1.2656, time 202.62ms, mfu 0.52%
iter 480: loss 1.3105, time 199.65ms, mfu 0.52%
iter 490: loss 1.2077, time 197.51ms, mfu 0.52%
step 500: train loss 1.2232, val loss 1.2234
saving checkpoint to out-exp2-embd192
iter 500: loss 1.2461, time 28664.89ms, mfu 0.47%
iter 510: loss 1.1971, time 199.24ms, mfu 0.47%
iter 520: loss 1.1821, time 198.77ms, mfu 0.48%
iter 530: loss 1.1521, time 196.87ms, mfu 0.48%
iter 540: loss 1.1991, time 199.79ms, mfu 0.49%
iter 550: loss 1.1746, time 202.45ms, mfu 0.49%
iter 560: loss 1.1611, time 203.38ms, mfu 0.49%
iter 570: loss 1.1554, time 201.81ms, mfu 0.49%
iter 580: loss 1.1163, time 201.22ms, mfu 0.50%
iter 590: loss 1.1509, time 200.00ms, mfu 0.50%
iter 600: loss 1.1259, time 198.17ms, mfu 0.50%
iter 610: loss 1.0665, time 198.18ms, mfu 0.50%
iter 620: loss 1.0384, time 197.97ms, mfu 0.50%
iter 630: loss 1.0806, time 197.62ms, mfu 0.51%
iter 640: loss 1.0293, time 200.65ms, mfu 0.51%
iter 650: loss 1.0589, time 197.08ms, mfu 0.51%
iter 660: loss 1.0870, time 198.49ms, mfu 0.51%
iter 670: loss 1.0448, time 198.40ms, mfu 0.51%
iter 680: loss 1.0269, time 194.10ms, mfu 0.51%
iter 690: loss 1.0621, time 196.26ms, mfu 0.52%
iter 700: loss 1.0729, time 196.36ms, mfu 0.52%
iter 710: loss 1.0366, time 197.22ms, mfu 0.52%
iter 720: loss 1.0494, time 194.63ms, mfu 0.52%
iter 730: loss 1.0119, time 193.14ms, mfu 0.52%
iter 740: loss 1.0365, time 195.74ms, mfu 0.52%
step 750: train loss 1.0225, val loss 1.0230
saving checkpoint to out-exp2-embd192
iter 750: loss 1.0365, time 28875.86ms, mfu 0.47%
iter 760: loss 1.0292, time 199.64ms, mfu 0.47%
iter 770: loss 0.9761, time 198.89ms, mfu 0.48%
iter 780: loss 1.0299, time 201.71ms, mfu 0.48%
iter 790: loss 1.0415, time 196.19ms, mfu 0.49%
iter 800: loss 0.9783, time 197.04ms, mfu 0.49%
iter 810: loss 0.9800, time 199.27ms, mfu 0.49%
iter 820: loss 0.9772, time 220.61ms, mfu 0.49%
iter 830: loss 1.0019, time 216.10ms, mfu 0.49%
iter 840: loss 0.9776, time 212.90ms, mfu 0.49%
iter 850: loss 0.9874, time 208.34ms, mfu 0.49%
iter 860: loss 1.0002, time 210.50ms, mfu 0.49%
iter 870: loss 1.0120, time 210.71ms, mfu 0.49%
iter 880: loss 0.9498, time 213.16ms, mfu 0.49%
iter 890: loss 0.9447, time 212.97ms, mfu 0.49%
iter 900: loss 0.9957, time 212.00ms, mfu 0.49%
iter 910: loss 0.9559, time 215.33ms, mfu 0.49%
iter 920: loss 0.9579, time 211.05ms, mfu 0.49%
iter 930: loss 1.0169, time 209.99ms, mfu 0.49%
iter 940: loss 0.9740, time 212.24ms, mfu 0.49%
iter 950: loss 0.9189, time 217.89ms, mfu 0.49%
iter 960: loss 0.9226, time 213.34ms, mfu 0.49%
iter 970: loss 0.9179, time 210.65ms, mfu 0.49%
iter 980: loss 0.9170, time 212.70ms, mfu 0.49%
iter 990: loss 0.9144, time 215.33ms, mfu 0.49%
step 1000: train loss 0.9222, val loss 0.9237
saving checkpoint to out-exp2-embd192
iter 1000: loss 0.9432, time 30695.03ms, mfu 0.44%
iter 1010: loss 0.9124, time 200.19ms, mfu 0.45%
iter 1020: loss 0.9455, time 198.00ms, mfu 0.45%
iter 1030: loss 0.9069, time 204.83ms, mfu 0.46%
iter 1040: loss 0.9264, time 205.14ms, mfu 0.46%
iter 1050: loss 0.9322, time 206.66ms, mfu 0.47%
iter 1060: loss 0.8907, time 201.66ms, mfu 0.47%
iter 1070: loss 0.9004, time 205.45ms, mfu 0.48%
iter 1080: loss 0.8710, time 202.29ms, mfu 0.48%
