Overriding config with config/exp1_depth.py:
# Experiment 1 - Depth sweep
# Vary: n_layer ∈ {2, 4, 8, 12}
# Fixed: n_head = 8, n_embd = 256, dropout = 0.0
# Usage: python train.py config/exp1_depth.py --n_layer=2

out_dir = 'out-exp1-depth'  # will be overridden by run script
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp1-depth'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6  # overridden via command line
n_head = 8
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp1-layer12
Overriding: n_layer = 12
Overriding: wandb_run_name = exp1-layer12
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 9.50M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 50, with 9,561,088 parameters
num non-decayed parameter tensors: 25, with 6,400 parameters
using fused AdamW: False
step 0: train loss 5.4077, val loss 5.4076
iter 0: loss 5.4096, time 72405.48ms, mfu -100.00%
iter 10: loss 3.9034, time 531.45ms, mfu 0.66%
iter 20: loss 3.3401, time 530.07ms, mfu 0.66%
iter 30: loss 2.8792, time 519.55ms, mfu 0.66%
iter 40: loss 2.5635, time 528.93ms, mfu 0.66%
iter 50: loss 2.4395, time 529.85ms, mfu 0.66%
iter 60: loss 2.3687, time 525.95ms, mfu 0.66%
iter 70: loss 2.3506, time 528.93ms, mfu 0.66%
iter 80: loss 2.3587, time 527.14ms, mfu 0.66%
iter 90: loss 2.3263, time 524.88ms, mfu 0.66%
iter 100: loss 2.2556, time 531.20ms, mfu 0.66%
iter 110: loss 2.2492, time 543.68ms, mfu 0.66%
iter 120: loss 2.2204, time 502.44ms, mfu 0.66%
iter 130: loss 2.2051, time 503.99ms, mfu 0.66%
iter 140: loss 2.1721, time 515.08ms, mfu 0.67%
iter 150: loss 2.1408, time 506.07ms, mfu 0.67%
iter 160: loss 2.0880, time 505.44ms, mfu 0.67%
iter 170: loss 2.0279, time 506.32ms, mfu 0.67%
iter 180: loss 1.9996, time 504.57ms, mfu 0.67%
iter 190: loss 1.9920, time 501.97ms, mfu 0.68%
iter 200: loss 1.9871, time 504.93ms, mfu 0.68%
iter 210: loss 1.8631, time 504.10ms, mfu 0.68%
iter 220: loss 1.8572, time 498.96ms, mfu 0.68%
iter 230: loss 1.7592, time 503.34ms, mfu 0.68%
iter 240: loss 1.7220, time 504.87ms, mfu 0.68%
