Overriding config with config/exp1_depth.py:
# Experiment 1 - Depth sweep
# Vary: n_layer ∈ {2, 4, 8, 12}
# Fixed: n_head = 8, n_embd = 256, dropout = 0.0
# Usage: python train.py config/exp1_depth.py --n_layer=2

out_dir = 'out-exp1-depth'  # will be overridden by run script
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp1-depth'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6  # overridden via command line
n_head = 8
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp1-layer4
Overriding: n_layer = 4
Overriding: wandb_run_name = exp1-layer4
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.21M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 18, with 3,269,632 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: False
step 0: train loss 5.4909, val loss 5.4914
iter 0: loss 5.4902, time 25097.52ms, mfu -100.00%
iter 10: loss 4.1060, time 170.84ms, mfu 0.69%
iter 20: loss 3.4477, time 169.79ms, mfu 0.69%
iter 30: loss 2.9379, time 170.96ms, mfu 0.69%
iter 40: loss 2.5755, time 171.72ms, mfu 0.69%
iter 50: loss 2.4324, time 178.71ms, mfu 0.68%
iter 60: loss 2.4104, time 171.88ms, mfu 0.68%
iter 70: loss 2.3457, time 167.73ms, mfu 0.69%
iter 80: loss 2.2979, time 171.22ms, mfu 0.69%
iter 90: loss 2.3238, time 168.96ms, mfu 0.69%
iter 100: loss 2.2688, time 170.57ms, mfu 0.69%
iter 110: loss 2.2579, time 171.12ms, mfu 0.69%
iter 120: loss 2.2137, time 167.47ms, mfu 0.69%
iter 130: loss 2.1590, time 171.45ms, mfu 0.69%
iter 140: loss 2.1249, time 169.97ms, mfu 0.69%
iter 150: loss 2.0900, time 171.78ms, mfu 0.69%
iter 160: loss 2.0375, time 172.07ms, mfu 0.69%
iter 170: loss 1.9882, time 173.91ms, mfu 0.69%
iter 180: loss 1.9726, time 171.67ms, mfu 0.69%
iter 190: loss 1.8900, time 175.54ms, mfu 0.68%
iter 200: loss 1.8775, time 171.51ms, mfu 0.68%
iter 210: loss 1.8280, time 171.94ms, mfu 0.68%
iter 220: loss 1.8339, time 173.07ms, mfu 0.68%
iter 230: loss 1.7903, time 167.83ms, mfu 0.69%
iter 240: loss 1.7329, time 168.32ms, mfu 0.69%
step 250: train loss 1.6807, val loss 1.6812
saving checkpoint to out-exp1-layer4
iter 250: loss 1.6475, time 25324.14ms, mfu 0.62%
iter 260: loss 1.6258, time 181.95ms, mfu 0.62%
iter 270: loss 1.6174, time 182.61ms, mfu 0.62%
iter 280: loss 1.5360, time 179.85ms, mfu 0.63%
iter 290: loss 1.5306, time 180.45ms, mfu 0.63%
iter 300: loss 1.5179, time 181.22ms, mfu 0.63%
iter 310: loss 1.4985, time 182.13ms, mfu 0.63%
iter 320: loss 1.4306, time 183.46ms, mfu 0.63%
iter 330: loss 1.4005, time 183.37ms, mfu 0.63%
iter 340: loss 1.4326, time 185.41ms, mfu 0.63%
iter 350: loss 1.3330, time 182.84ms, mfu 0.64%
iter 360: loss 1.3713, time 179.41ms, mfu 0.64%
iter 370: loss 1.2854, time 182.61ms, mfu 0.64%
iter 380: loss 1.3063, time 180.33ms, mfu 0.64%
iter 390: loss 1.2170, time 183.35ms, mfu 0.64%
iter 400: loss 1.2625, time 183.32ms, mfu 0.64%
iter 410: loss 1.2131, time 182.26ms, mfu 0.64%
iter 420: loss 1.1925, time 181.28ms, mfu 0.64%
iter 430: loss 1.2267, time 182.47ms, mfu 0.64%
iter 440: loss 1.1703, time 197.07ms, mfu 0.64%
iter 450: loss 1.1921, time 180.18ms, mfu 0.64%
iter 460: loss 1.2302, time 181.95ms, mfu 0.64%
iter 470: loss 1.1879, time 184.45ms, mfu 0.64%
iter 480: loss 1.1594, time 183.24ms, mfu 0.64%
iter 490: loss 1.1556, time 179.40ms, mfu 0.64%
step 500: train loss 1.1306, val loss 1.1343
saving checkpoint to out-exp1-layer4
iter 500: loss 1.1097, time 25852.31ms, mfu 0.58%
iter 510: loss 1.1733, time 171.33ms, mfu 0.59%
iter 520: loss 1.0907, time 170.22ms, mfu 0.60%
iter 530: loss 1.1226, time 171.99ms, mfu 0.61%
iter 540: loss 1.1249, time 172.09ms, mfu 0.61%
iter 550: loss 1.0753, time 173.89ms, mfu 0.62%
iter 560: loss 1.0745, time 171.60ms, mfu 0.63%
iter 570: loss 1.1211, time 175.67ms, mfu 0.63%
iter 580: loss 1.0914, time 172.27ms, mfu 0.64%
iter 590: loss 1.0728, time 172.97ms, mfu 0.64%
iter 600: loss 1.0688, time 170.64ms, mfu 0.65%
iter 610: loss 1.0567, time 173.45ms, mfu 0.65%
iter 620: loss 1.0575, time 172.22ms, mfu 0.65%
iter 630: loss 1.0118, time 173.32ms, mfu 0.65%
iter 640: loss 1.0357, time 175.93ms, mfu 0.66%
iter 650: loss 1.0556, time 176.54ms, mfu 0.66%
iter 660: loss 1.0215, time 166.33ms, mfu 0.66%
iter 670: loss 0.9750, time 173.05ms, mfu 0.66%
iter 680: loss 1.0059, time 175.15ms, mfu 0.66%
iter 690: loss 0.9614, time 171.88ms, mfu 0.67%
iter 700: loss 1.0194, time 174.81ms, mfu 0.67%
iter 710: loss 1.0104, time 170.63ms, mfu 0.67%
iter 720: loss 1.0015, time 171.96ms, mfu 0.67%
iter 730: loss 0.9773, time 170.93ms, mfu 0.67%
iter 740: loss 0.9976, time 172.62ms, mfu 0.67%
step 750: train loss 0.9774, val loss 0.9763
saving checkpoint to out-exp1-layer4
iter 750: loss 0.9864, time 25069.12ms, mfu 0.61%
iter 760: loss 0.9799, time 172.70ms, mfu 0.61%
iter 770: loss 0.9751, time 175.43ms, mfu 0.62%
iter 780: loss 0.9594, time 175.27ms, mfu 0.62%
iter 790: loss 0.9655, time 174.38ms, mfu 0.63%
iter 800: loss 0.9680, time 179.23ms, mfu 0.63%
iter 810: loss 0.9309, time 175.93ms, mfu 0.64%
iter 820: loss 0.9237, time 176.67ms, mfu 0.64%
iter 830: loss 0.9700, time 173.44ms, mfu 0.64%
iter 840: loss 0.9388, time 178.37ms, mfu 0.64%
iter 850: loss 0.9110, time 176.82ms, mfu 0.65%
